SAMPNO,SUBDATE,Lead,Result (Pb),Copper,Result (Cu),ADDRESS,CITY,ZIP CODE,Site_Code,Service Line Material,Sample Location
LG17318,24-Feb-16,Lead,0,Copper,0,WINONA  ,FLINT,48504,FS0579,Copper,KITCHEN
LG17319,24-Feb-16,Lead,2,Copper,0,WELCH BLVD ,FLINT,48504,FS0672,Copper,KITCHEN
LG17320,24-Feb-16,Lead,6,Copper,0,E MCCLELLAN ,FLINT,48505,FS1974,Galvanized,KITCHEN
LG17321,24-Feb-16,Lead,2,Copper,0,E GNEESEE ,FLINT,48505,FS1605,,KITCHEN
LG17322,24-Feb-16,Lead,8,Copper,0,WINDEMERE  ,FLINT,48503,FS2189,Lead,KITCHEN
LG17323,24-Feb-16,Lead,2,Copper,60,E MOORE ,FLINT,48505,FS2571,Copper,KITCHEN
LG17324,24-Feb-16,Lead,25,Copper,70,WELCH BLVD ,FLINT,48506,FS0408,Lead,
LG17325,24-Feb-16,Lead,0,Copper,0,E DARTMOUTH ,FLINT,48505,FS2300,Galvanized,KITCHEN
LG17326,24-Feb-16,Lead,6,Copper,130,PIERCE ST ,FLINT,48503,FS2246,Copper,KITCHEN
LG17327,24-Feb-16,Lead,0,Copper,0,GREENFIELD  ,FLINT,48503,FS2081,,KITCHEN
LG17328,24-Feb-16,Lead,4,Copper,70,HILL  ,FLINT,48503,FS2626,Copper,KITCHEN
LG17329,24-Feb-16,Lead,1,Copper,110,CHANDLER  ,FLINT,48503,FS2344,Unknown,KITCHEN
LG17330,24-Feb-16,Lead,4,Copper,60,PIERCE  ,FLINT,48503,FS1043,Copper,KITCHEN
LG17331,24-Feb-16,Lead,0,Copper,0,GREENFIELD  ,FLINT,48503,FS1982,Unknown,KITCHEN
LG17332,24-Feb-16,Lead,0,Copper,0,MONTCLAIR AVE ,FLINT,48503,FS1229,Copper,KITCHEN
LG17333,24-Feb-16,Lead,3,Copper,80,PIERCE ST ,FLINT,48503,FS2311,Copper,KITCHEN
LG17334,24-Feb-16,Lead,5,Copper,140,WEST JACKSON AVE,FLINT,48505,FS1381,Copper,KITCHEN
LG17335,24-Feb-16,Lead,0,Copper,0,CLINTON ST ,FLINT,48507,FS2247,Copper,KITCHEN
LG17336,24-Feb-16,Lead,0,Copper,90,MOUNTAIN AVE ,FLINT,48503,FS2196,Copper,KITCHEN
LG17337,24-Feb-16,Lead,7,Copper,0,PIERCE ST ,FLINT,48503,FS1269,,KITCHEN
LG17338,24-Feb-16,Lead,0,Copper,130,CHANDLER  ,FLINT,48503,FS1972,Unknown,KITCHEN
LG17339,24-Feb-16,Lead,0,Copper,0,GREENFIELD  ,FLINT,48503,FS1976,Unknown,KITCHEN
LG17340,24-Feb-16,Lead,0,Copper,0,PIERCE ST ,FLINT,48503,FS2036,Unknown,BATHROOM
LG17341,24-Feb-16,Lead,0,Copper,110,MOUNTAIN AVE ,FLINT,48503,FS1203,Copper,KITCHEN
LG17342,24-Feb-16,Lead,0,Copper,0,HURON ST ,FLINT,48507,FS1210,Unknown,KITCHEN
LG17343,24-Feb-16,Lead,1,Copper,0,CRAWFORD ST ,FLINT,48507,FS1696,Lead,KITCHEN
LG17344,24-Feb-16,Lead,3,Copper,100,PIERCE ST ,FLINT,48503,FS2503,Copper,KITCHEN
LG17345,24-Feb-16,Lead,1,Copper,0,  ,,,FS1440,Other,
LG17346,24-Feb-16,Lead,1,Copper,80,CRAWFORD ST ,FLINT,48507,FS1551,Lead,KITCHEN
LG17347,24-Feb-16,Lead,8,Copper,0,PIERCE  ,FLINT,48503,FS2266,Lead,KITCHEN
LG17348,24-Feb-16,Lead,0,Copper,0,PIERCE ST ,FLINT,48503,FS2130,Unknown,KITCHEN
LG17349,24-Feb-16,Lead,3,Copper,0,PIERCE  ,FLINT,48503,FS1599,Unknown,KITCHEN
LG17350,24-Feb-16,Lead,3,Copper,0,CLINTON  ,FLINT,48507,FS1998,Unknown,KITCHEN
LG17351,24-Feb-16,Lead,2,Copper,0,ROOME  ,FLINT,48503,FS1744,,KITCHEN
LG17352,24-Feb-16,Lead,0,Copper,0,HURON  ,FLINT,48507,FS1968,Unknown,KITCHEN
LG17353,24-Feb-16,Lead,2,Copper,130,CRAWFORD ST ,FLINT,48507,FS1693,Lead,KITCHEN
LG17354,24-Feb-16,Lead,1,Copper,0,COPEMAN BLVD ,FLINT,48504,FS0336,Lead,KITCHEN
LG17355,24-Feb-16,Lead,37,Copper,170,WELCH BLVD ,FLINT,48504,FS0409,Lead,KITCHEN
LG17356,24-Feb-16,Lead,1,Copper,0,PIERCE ST ,FLINT,48503,FS2265,Copper,KITCHEN
LG17357,24-Feb-16,Lead,0,Copper,60,W 6TH ST,FLINT,48503,FS1333,Unknown,KITCHEN
LG17358,24-Feb-16,Lead,0,Copper,0,SUNSET DR ,FLINT,48503,FS0576,Copper,KITCHEN
LG17359,24-Feb-16,Lead,0,Copper,0,BROWN ST ,FLINT,48503,FS1745,Galvanized,KITCHEN
LG17360,24-Feb-16,Lead,0,Copper,0,NOLEN  ,FLINT,48504,FS1537,,KITCHEN
LG17361,24-Feb-16,Lead,0,Copper,0,WINONA ST ,FLINT,48504,FS0589,Copper,KITCHEN
